Data,Hora (UTC),DiaSemChuva,Precipitacao,Latitude,Longitude,Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Chuva (mm),ClassificacaoRF
26/07/2019,22,44.0,0.0,-7.74,-54.83,28.2,29.5,28.2,68.0,69.0,63.0,21.7,22.1,21.7,990.6,990.6,990.2,0.5,115.0,1.7,0.0,alto
26/07/2019,22,45.0,0.0,-7.75,-54.82,28.2,29.5,28.2,68.0,69.0,63.0,21.7,22.1,21.7,990.6,990.6,990.2,0.5,115.0,1.7,0.0,alto
26/07/2019,20,43.0,0.0,-7.77,-54.84,30.4,31.2,30.4,56.0,59.0,53.0,20.7,21.6,20.4,989.7,989.7,989.5,1.7,82.0,5.6,0.0,alto
03/08/2019,23,29.0,0.0,-8.27,-54.85,27.3,28.5,27.3,73.0,73.0,65.0,22.0,22.1,21.3,990.0,990.0,989.5,0.2,167.0,1.0,0.0,alto
03/08/2019,23,30.0,0.0,-8.27,-54.81,27.3,28.5,27.3,73.0,73.0,65.0,22.0,22.1,21.3,990.0,990.0,989.5,0.2,167.0,1.0,0.0,alto
03/08/2019,23,34.0,0.0,-8.29,-54.85,27.3,28.5,27.3,73.0,73.0,65.0,22.0,22.1,21.3,990.0,990.0,989.5,0.2,167.0,1.0,0.0,alto
05/08/2019,1,42.0,0.9,-8.7,-54.76,25.6,27.0,25.6,83.0,83.0,76.0,22.4,22.7,22.0,993.0,993.0,991.9,0.1,178.0,1.8,0.0,alto
05/08/2019,1,44.0,0.9,-8.7,-54.74,25.6,27.0,25.6,83.0,83.0,76.0,22.4,22.7,22.0,993.0,993.0,991.9,0.1,178.0,1.8,0.0,alto
05/08/2019,1,36.0,1.0,-8.72,-54.76,25.6,27.0,25.6,83.0,83.0,76.0,22.4,22.7,22.0,993.0,993.0,991.9,0.1,178.0,1.8,0.0,alto
05/08/2019,20,36.0,1.0,-8.72,-54.74,29.6,30.4,29.6,67.0,68.0,60.0,22.9,23.0,21.6,990.2,990.4,990.2,0.7,60.0,4.6,0.0,alto
05/08/2019,20,27.0,0.0,-6.52,-53.93,29.6,30.4,29.6,67.0,68.0,60.0,22.9,23.0,21.6,990.2,990.4,990.2,0.7,60.0,4.6,0.0,alto
05/08/2019,20,17.0,0.4,-6.68,-55.07,29.6,30.4,29.6,67.0,68.0,60.0,22.9,23.0,21.6,990.2,990.4,990.2,0.7,60.0,4.6,0.0,alto
05/08/2019,20,17.0,0.4,-6.68,-55.05,29.6,30.4,29.6,67.0,68.0,60.0,22.9,23.0,21.6,990.2,990.4,990.2,0.7,60.0,4.6,0.0,alto
05/08/2019,20,17.0,0.4,-6.7,-55.06,29.6,30.4,29.6,67.0,68.0,60.0,22.9,23.0,21.6,990.2,990.4,990.2,0.7,60.0,4.6,0.0,alto
05/08/2019,20,17.0,0.5,-6.7,-55.04,29.6,30.4,29.6,67.0,68.0,60.0,22.9,23.0,21.6,990.2,990.4,990.2,0.7,60.0,4.6,0.0,alto
05/08/2019,18,17.0,0.5,-6.71,-55.0,30.8,31.2,29.8,61.0,68.0,60.0,22.3,23.8,22.3,991.3,992.2,991.3,1.3,47.0,4.3,0.0,alto
08/08/2019,0,20.0,0.0,-6.68,-55.03,26.9,27.4,26.8,65.0,65.0,62.0,19.7,19.7,19.5,993.6,993.6,992.8,1.0,159.0,2.9,0.0,alto
08/08/2019,0,20.0,0.0,-6.68,-55.01,26.9,27.4,26.8,65.0,65.0,62.0,19.7,19.7,19.5,993.6,993.6,992.8,1.0,159.0,2.9,0.0,alto
08/08/2019,0,20.0,0.0,-6.68,-54.99,26.9,27.4,26.8,65.0,65.0,62.0,19.7,19.7,19.5,993.6,993.6,992.8,1.0,159.0,2.9,0.0,alto
08/08/2019,0,20.0,0.0,-6.68,-54.93,26.9,27.4,26.8,65.0,65.0,62.0,19.7,19.7,19.5,993.6,993.6,992.8,1.0,159.0,2.9,0.0,alto
08/08/2019,23,19.0,0.0,-6.32,-55.16,28.2,29.3,27.8,63.0,68.0,56.0,20.3,21.7,19.5,993.0,993.0,992.4,0.6,154.0,1.2,0.0,alto
08/08/2019,23,2.0,0.0,-6.34,-53.47,28.2,29.3,27.8,63.0,68.0,56.0,20.3,21.7,19.5,993.0,993.0,992.4,0.6,154.0,1.2,0.0,baixo
08/08/2019,23,18.0,0.0,-6.34,-55.22,28.2,29.3,27.8,63.0,68.0,56.0,20.3,21.7,19.5,993.0,993.0,992.4,0.6,154.0,1.2,0.0,alto
08/08/2019,11,20.0,0.0,-6.62,-55.03,23.4,23.4,21.7,88.0,95.0,83.0,21.3,21.9,20.3,995.0,995.0,994.4,0.2,264.0,0.7,0.0,alto
12/08/2019,23,33.0,0.0,-8.25,-55.22,27.9,29.0,27.9,66.0,66.0,61.0,20.9,21.1,20.5,990.0,990.0,989.4,0.2,50.0,4.0,0.0,alto
13/08/2019,23,25.0,0.2,-6.4,-54.9,28.7,30.8,28.7,62.0,64.0,53.0,20.8,21.3,20.1,989.1,989.1,988.4,1.0,183.0,1.6,0.0,alto
03/08/2019,17,26.0,0.0,-7.18,-55.08,32.4,32.5,31.1,56.0,66.0,56.0,22.6,24.5,22.5,990.7,991.7,990.7,1.5,79.0,4.1,0.0,alto
05/08/2019,21,17.0,0.5,-6.32,-53.43,27.7,29.6,27.7,75.0,75.0,65.0,22.9,23.2,22.2,990.8,990.8,990.2,0.6,277.0,3.5,0.0,alto
07/08/2019,1,19.0,0.0,-6.71,-55.02,23.6,24.3,23.2,92.0,93.0,87.0,22.2,22.7,21.7,994.2,994.2,993.3,0.4,243.0,0.9,0.0,alto
07/08/2019,1,19.0,0.0,-6.7,-55.0,23.6,24.3,23.2,92.0,93.0,87.0,22.2,22.7,21.7,994.2,994.2,993.3,0.4,243.0,0.9,0.0,alto
08/08/2019,2,3.0,0.0,-7.79,-54.76,25.4,25.8,24.0,79.0,86.0,71.0,21.5,21.6,20.1,994.4,994.4,994.2,0.7,157.0,1.8,0.0,alto
08/08/2019,2,3.0,0.0,-7.77,-54.74,25.4,25.8,24.0,79.0,86.0,71.0,21.5,21.6,20.1,994.4,994.4,994.2,0.7,157.0,1.8,0.0,alto
08/08/2019,2,3.0,0.0,-7.77,-54.76,25.4,25.8,24.0,79.0,86.0,71.0,21.5,21.6,20.1,994.4,994.4,994.2,0.7,157.0,1.8,0.0,alto
10/08/2019,22,22.0,0.0,-6.34,-55.14,29.2,31.1,29.2,58.0,58.0,52.0,20.2,20.6,19.9,991.2,991.2,990.5,0.7,163.0,2.8,0.0,alto
10/08/2019,22,22.0,0.0,-6.45,-55.0,29.2,31.1,29.2,58.0,58.0,52.0,20.2,20.6,19.9,991.2,991.2,990.5,0.7,163.0,2.8,0.0,alto
10/08/2019,22,4.0,0.0,-6.43,-53.28,29.2,31.1,29.2,58.0,58.0,52.0,20.2,20.6,19.9,991.2,991.2,990.5,0.7,163.0,2.8,0.0,médio
10/08/2019,22,4.0,0.0,-6.43,-53.3,29.2,31.1,29.2,58.0,58.0,52.0,20.2,20.6,19.9,991.2,991.2,990.5,0.7,163.0,2.8,0.0,médio
10/08/2019,22,4.0,0.0,-6.41,-53.28,29.2,31.1,29.2,58.0,58.0,52.0,20.2,20.6,19.9,991.2,991.2,990.5,0.7,163.0,2.8,0.0,médio
11/08/2019,18,13.0,0.0,-6.23,-55.19,33.9,34.7,33.3,37.0,41.0,35.0,17.3,19.0,16.1,990.4,991.1,990.3,2.3,100.0,6.8,0.0,alto
11/08/2019,18,9.0,0.0,-6.21,-55.21,33.9,34.7,33.3,37.0,41.0,35.0,17.3,19.0,16.1,990.4,991.1,990.3,2.3,100.0,6.8,0.0,alto
11/08/2019,18,7.0,0.0,-6.19,-55.21,33.9,34.7,33.3,37.0,41.0,35.0,17.3,19.0,16.1,990.4,991.1,990.3,2.3,100.0,6.8,0.0,alto
12/08/2019,19,6.0,0.0,-5.85,-53.53,32.9,33.5,32.1,46.0,54.0,44.0,19.8,22.2,19.2,988.8,989.3,988.8,1.5,79.0,4.8,0.0,alto
13/08/2019,21,7.0,0.0,-6.11,-53.72,31.8,32.7,31.8,50.0,50.0,46.0,20.1,20.1,19.5,987.9,987.9,987.7,1.2,145.0,4.4,0.0,alto
17/08/2019,4,72.0,0.0,-8.74,-55.0,21.7,21.9,21.5,95.0,97.0,95.0,20.9,21.3,20.9,992.4,992.8,992.4,0.4,184.0,0.9,0.0,alto
17/08/2019,4,12.0,0.0,-7.83,-54.82,21.7,21.9,21.5,95.0,97.0,95.0,20.9,21.3,20.9,992.4,992.8,992.4,0.4,184.0,0.9,0.0,alto
17/08/2019,4,12.0,0.0,-7.81,-54.82,21.7,21.9,21.5,95.0,97.0,95.0,20.9,21.3,20.9,992.4,992.8,992.4,0.4,184.0,0.9,0.0,alto
17/08/2019,6,12.0,0.0,-7.81,-54.84,21.1,21.4,20.9,97.0,98.0,97.0,20.6,20.9,20.4,991.3,991.7,991.3,0.2,133.0,0.8,0.0,alto
17/08/2019,18,68.0,0.0,-8.72,-55.02,32.0,32.7,31.3,50.0,54.0,48.0,20.2,21.9,19.3,990.3,991.1,990.3,2.0,103.0,7.8,0.0,alto
17/08/2019,19,75.0,0.0,-8.76,-54.96,30.9,32.2,30.8,51.0,55.0,48.0,19.6,20.9,19.0,989.7,990.3,989.7,1.5,62.0,4.7,0.0,alto
17/08/2019,19,0.0,0.0,-6.41,-53.42,30.9,32.2,30.8,51.0,55.0,48.0,19.6,20.9,19.0,989.7,990.3,989.7,1.5,62.0,4.7,0.0,médio
17/08/2019,19,6.0,0.0,-6.34,-53.51,30.9,32.2,30.8,51.0,55.0,48.0,19.6,20.9,19.0,989.7,990.3,989.7,1.5,62.0,4.7,0.0,alto
17/08/2019,19,11.0,0.0,-6.02,-53.34,30.9,32.2,30.8,51.0,55.0,48.0,19.6,20.9,19.0,989.7,990.3,989.7,1.5,62.0,4.7,0.0,alto
17/08/2019,19,9.0,0.0,-6.17,-53.5,30.9,32.2,30.8,51.0,55.0,48.0,19.6,20.9,19.0,989.7,990.3,989.7,1.5,62.0,4.7,0.0,alto
18/08/2019,23,12.0,0.0,-6.2,-53.9,27.0,28.9,27.0,71.0,72.0,61.0,21.4,21.7,20.4,990.7,990.7,990.5,0.4,225.0,0.9,0.0,alto
18/08/2019,23,12.0,0.0,-6.2,-53.92,27.0,28.9,27.0,71.0,72.0,61.0,21.4,21.7,20.4,990.7,990.7,990.5,0.4,225.0,0.9,0.0,alto
18/08/2019,1,61.0,0.0,-8.63,-54.71,24.0,26.3,24.0,82.0,84.0,70.0,20.7,21.5,20.2,991.2,991.2,990.7,0.2,116.0,1.1,0.0,alto
18/08/2019,1,31.0,0.0,-8.55,-54.81,24.0,26.3,24.0,82.0,84.0,70.0,20.7,21.5,20.2,991.2,991.2,990.7,0.2,116.0,1.1,0.0,alto
18/08/2019,0,12.0,0.0,-6.34,-53.55,25.4,28.1,25.4,76.0,82.0,60.0,20.8,22.1,19.6,990.7,990.7,990.1,0.4,156.0,1.1,0.0,alto
18/08/2019,0,12.0,0.0,-6.34,-53.57,25.4,28.1,25.4,76.0,82.0,60.0,20.8,22.1,19.6,990.7,990.7,990.1,0.4,156.0,1.1,0.0,alto
18/08/2019,0,2.0,0.0,-6.28,-53.45,25.4,28.1,25.4,76.0,82.0,60.0,20.8,22.1,19.6,990.7,990.7,990.1,0.4,156.0,1.1,0.0,alto
18/08/2019,0,2.0,0.0,-6.26,-53.45,25.4,28.1,25.4,76.0,82.0,60.0,20.8,22.1,19.6,990.7,990.7,990.1,0.4,156.0,1.1,0.0,alto
18/08/2019,1,11.0,0.0,-7.87,-54.8,24.0,26.3,24.0,82.0,84.0,70.0,20.7,21.5,20.2,991.2,991.2,990.7,0.2,116.0,1.1,0.0,alto
